日期,时间,员工,机台编号,产量
2023年12月19日,14:28:04,234567,1,11
2023年12月19日,14:30:37,234567,1,11
2023年12月19日,14:33:59,234567,1,11
2023年12月19日,14:37:46,234567,1,11
2023年12月19日,14:40:38,234567,1,11
2023年12月19日,14:43:51,234567,1,11
2023年12月19日,14:45:17,234567,1,11
2023年12月19日,14:45:56,234567,1,11
2023年12月19日,14:46:11,234567,1,11
2023年12月19日,14:46:33,234567,1,11
2023年12月19日,14:48:24,234567,1,11
2023年12月19日,14:48:37,234567,1,11
2023年12月19日,14:48:42,234567,1,11
2023年12月19日,14:48:44,234567,1,11
2023年12月19日,14:48:46,234567,1,11
2023年12月19日,14:59:24,234567,1,11
2023年12月19日,14:59:28,234567,1,11
2023年12月19日,14:59:30,234567,1,11
2023年12月19日,14:59:35,234567,1,11
2023年12月19日,15:06:17,234567,1,11
2023年12月19日,15:10:01,234567,1,11
2023年12月19日,15:10:04,234567,1,11
2023年12月19日,15:10:06,234567,1,11
2023年12月19日,15:10:08,234567,1,11
2023年12月19日,15:10:11,234567,1,11
2023年12月19日,15:10:12,234567,1,11
2023年12月19日,15:10:16,234567,1,11
2023年12月19日,15:10:18,234567,1,11
2023年12月19日,15:10:19,234567,1,11
2023年12月19日,15:10:20,234567,1,11
